transmit_tx,transmit_block,sprayed_in_block,sprayed_in_block_count,exec_b0_count,exec_b1_count,exec_b2_count,has_gatepass_within_2blocks,gatepass_block,gatepass_tx,gatepass_fee_eth,total_exec_b0_b2
0xddffe079312a3ce92243a7f614e2439bc71f43b775a6fe0080beb67b4fb21064,38831633,1,1,1,0,1,0,,,,2
0x768d568f6e8b438a88f6b39f8f6f70ba675bc05f2fc698bca85aa331e8f47f13,38832188,1,1,1,0,0,0,,,,1
0x75a25b29dc065b80dea6b4c94bb9ecaf17e2355f862456ac466525cc19644bf1,38832534,1,1,1,0,1,1,38832536,0xd0df7ac31feb2dedd3966f2013fe8e980b3bff87e3fe5a5288187c1125881347,0.000001245418941689,2
0xb4847609021313e290e37424c074d14c66c8e2f9f231da01d87e317971fdbbef,38832924,0,0,0,1,0,1,38832925,0xe496fed1d210968d806b898bf5da6dd6393a52b651fd3ce0da35743fd9dd2f77,0.000001244724312431,1
0x19bbf3bd284f2f5acb81608e50664e473ea7a85a6635825ebf78056292788423,38833224,1,1,1,0,1,0,,,,2
0x9253674c0bad7d28051b069bccf50cfa6120e444303419ca895dccfa2ad1159d,38833509,0,0,0,1,0,0,,,,1
0x7044a43c1d119ba35f6d112a1329ecd8fdc18c49985591078c5eb329dc2cfc19,38833555,1,1,1,0,1,1,38833555,0x71045e3871ce23552e9041672e8fc46105dad10cf8f098cedb81a94ee5e9cd0d,0.000001242911859825,2
0x20656a4003f515f7eb98b9e66c70d476dc5062755626b3b4b92193a78519b95f,38834170,0,0,0,1,0,1,38834171,0xd719b3db87125c5abff727c249ccbb784edd1a48856acdfb264b93e5cc04ef00,0.000001240247878131,1
0x0c36814a2906ecd662b65398402125dbc3ffd94d69bf087b1389a004d7ff1328,38834650,1,1,1,0,0,0,,,,1
0x06064dc4d3ca21af937c996423b8dc3ab0c4c97ceb0efd2aceb085b66289eee4,38835266,1,1,1,0,0,0,,,,1
0x84f11773f8308e5ee8d0f1a4c087d61e1937d2659cb44ce41ba5a507d1a9fea6,38835431,0,0,0,1,0,1,38835432,0xc20dea088c9f559f5c2f140fe7bbe5fc3cc2e1b4a859d319e9c3c2c8e7566422,0.000001238376826331,1
